year,state_name,state_code,population_total,population_65plus,percent_65plus,hospitals_count,beds_public_total,hospitals_per_100k,beds_per_1000,abbr,latitude,longitude,aging_label
2001,Australian Capital Territory,ACT,321538.0,27535.0,8.564,,,,,ACT,-35.2809,149.13,
2002,Australian Capital Territory,ACT,324627.0,28326.0,8.726,,,,,ACT,-35.2809,149.13,
2003,Australian Capital Territory,ACT,327357.0,29235.0,8.931,,,,,ACT,-35.2809,149.13,
2004,Australian Capital Territory,ACT,328940.0,30037.0,9.131,,,,,ACT,-35.2809,149.13,
2005,Australian Capital Territory,ACT,331399.0,31030.0,9.363,,,,,ACT,-35.2809,149.13,
2006,Australian Capital Territory,ACT,335170.0,32004.0,9.549,,,,,ACT,-35.2809,149.13,
2007,Australian Capital Territory,ACT,342644.0,33315.0,9.723,,,,,ACT,-35.2809,149.13,
2008,Australian Capital Territory,ACT,348368.0,34477.0,9.897,,,,,ACT,-35.2809,149.13,
2009,Australian Capital Territory,ACT,354785.0,35759.0,10.079,,,,,ACT,-35.2809,149.13,
2010,Australian Capital Territory,ACT,361766.0,37262.0,10.3,,,,,ACT,-35.2809,149.13,
2011,Australian Capital Territory,ACT,367985.0,38886.0,10.567,,,,,ACT,-35.2809,149.13,
2012,Australian Capital Territory,ACT,376539.0,41209.0,10.944,,,,,ACT,-35.2809,149.13,
2013,Australian Capital Territory,ACT,383257.0,43358.0,11.313,,,,,ACT,-35.2809,149.13,
2014,Australian Capital Territory,ACT,388799.0,45451.0,11.69,,,,,ACT,-35.2809,149.13,
2015,Australian Capital Territory,ACT,395813.0,47585.0,12.022,,,,,ACT,-35.2809,149.13,
2016,Australian Capital Territory,ACT,403104.0,49572.0,12.298,,,,,ACT,-35.2809,149.13,
2017,Australian Capital Territory,ACT,415046.0,51741.0,12.466,,,,,ACT,-35.2809,149.13,
2018,Australian Capital Territory,ACT,426081.0,53828.0,12.633,,,,,ACT,-35.2809,149.13,
2019,Australian Capital Territory,ACT,435730.0,55873.0,12.823,,,,,ACT,-35.2809,149.13,
2020,Australian Capital Territory,ACT,444903.0,58336.0,13.112,,,,,ACT,-35.2809,149.13,
2021,Australian Capital Territory,ACT,452508.0,60396.0,13.347,,,,,ACT,-35.2809,149.13,
2022,Australian Capital Territory,ACT,456915.0,62084.0,13.588,,,,,ACT,-35.2809,149.13,
2023,Australian Capital Territory,ACT,466359.0,63907.0,13.703,,,,,ACT,-35.2809,149.13,
2024,Australian Capital Territory,ACT,473855.0,65896.0,13.906,3.0,,0.633,,ACT,-35.2809,149.13,
2001,Australia,AUS,19274701.0,2419070.0,12.55,,,,,,,,
2002,Australia,AUS,19495210.0,2465669.0,12.648,,,,,,,,
2003,Australia,AUS,19720737.0,2511327.0,12.734,,,,,,,,
2004,Australia,AUS,19932722.0,2558857.0,12.837,,,,,,,,
2005,Australia,AUS,20176844.0,2611879.0,12.945,,,,,,,,
2006,Australia,AUS,20450966.0,2664064.0,13.027,,,,,,,,
2007,Australia,AUS,20827622.0,2736610.0,13.139,,,,,,,,
2008,Australia,AUS,21249199.0,2805167.0,13.201,,,,,,,,
2009,Australia,AUS,21691653.0,2890566.0,13.326,,,,,,,,
2010,Australia,AUS,22031750.0,2986675.0,13.556,,,,,,,,
2011,Australia,AUS,22340024.0,3087911.0,13.822,,,,,,,,
2012,Australia,AUS,22733465.0,3213853.0,14.137,,,,,,,,
2013,Australia,AUS,23128129.0,3330378.0,14.4,,,,,,,,
2014,Australia,AUS,23475686.0,3442148.0,14.663,,,,,,,,
2015,Australia,AUS,23815995.0,3554304.0,14.924,,,,,,,,
2016,Australia,AUS,24190907.0,3672251.0,15.18,,,,,,,,
2017,Australia,AUS,24592588.0,3788261.0,15.404,,,,,,,,
2018,Australia,AUS,24963258.0,3908143.0,15.656,,,,,,,,
2019,Australia,AUS,25334826.0,4033157.0,15.919,,,,,,,,
2020,Australia,AUS,25649248.0,4187801.0,16.327,,,,,,,,
2021,Australia,AUS,25685412.0,4314219.0,16.796,,,,,,,,
2022,Australia,AUS,26014399.0,4433342.0,17.042,,,,,,,,
2023,Australia,AUS,26652777.0,4560057.0,17.109,,,,,,,,
2024,Australia,AUS,27194369.0,4700531.0,17.285,,65935.0,,2.4245828244810537,,,,
2001,New South Wales,NSW,6530349.0,852739.0,13.058,,,,,NSW,-33.8688,151.2093,
2002,New South Wales,NSW,6580807.0,865293.0,13.149,,,,,NSW,-33.8688,151.2093,
2003,New South Wales,NSW,6620715.0,876033.0,13.232,,,,,NSW,-33.8688,151.2093,
2004,New South Wales,NSW,6650735.0,886720.0,13.333,,,,,NSW,-33.8688,151.2093,
2005,New South Wales,NSW,6693206.0,899718.0,13.442,,,,,NSW,-33.8688,151.2093,
2006,New South Wales,NSW,6742690.0,911881.0,13.524,,,,,NSW,-33.8688,151.2093,
2007,New South Wales,NSW,6834156.0,934537.0,13.675,,,,,NSW,-33.8688,151.2093,
2008,New South Wales,NSW,6943461.0,956559.0,13.776,,,,,NSW,-33.8688,151.2093,
2009,New South Wales,NSW,7053755.0,984281.0,13.954,,,,,NSW,-33.8688,151.2093,
2010,New South Wales,NSW,7144292.0,1015936.0,14.22,,,,,NSW,-33.8688,151.2093,
2011,New South Wales,NSW,7218529.0,1048904.0,14.531,,,,,NSW,-33.8688,151.2093,
2012,New South Wales,NSW,7304244.0,1085147.0,14.856,,,,,NSW,-33.8688,151.2093,
2013,New South Wales,NSW,7404032.0,1120092.0,15.128,,,,,NSW,-33.8688,151.2093,
2014,New South Wales,NSW,7508353.0,1152524.0,15.35,,,,,NSW,-33.8688,151.2093,
2015,New South Wales,NSW,7616168.0,1184166.0,15.548,,,,,NSW,-33.8688,151.2093,
2016,New South Wales,NSW,7732858.0,1216340.0,15.73,,,,,NSW,-33.8688,151.2093,
2017,New South Wales,NSW,7855316.0,1247771.0,15.884,,,,,NSW,-33.8688,151.2093,
2018,New South Wales,NSW,7954476.0,1280049.0,16.092,,,,,NSW,-33.8688,151.2093,
2019,New South Wales,NSW,8046748.0,1314461.0,16.335,,,,,NSW,-33.8688,151.2093,
2020,New South Wales,NSW,8110610.0,1359254.0,16.759,,,,,NSW,-33.8688,151.2093,
2021,New South Wales,NSW,8097062.0,1393673.0,17.212,,,,,NSW,-33.8688,151.2093,
2022,New South Wales,NSW,8166704.0,1424525.0,17.443,,,,,NSW,-33.8688,151.2093,
2023,New South Wales,NSW,8341199.0,1459691.0,17.5,,,,,NSW,-33.8688,151.2093,
2024,New South Wales,NSW,8479314.0,1500087.0,17.691,226.0,21238.0,2.665,2.5046837515393343,NSW,-33.8688,151.2093,
2001,Northern Territory,NT,201743.0,7550.0,3.742,,,,,NT,-12.4634,130.8456,
2002,Northern Territory,NT,202251.0,7843.0,3.878,,,,,NT,-12.4634,130.8456,
2003,Northern Territory,NT,201725.0,8027.0,3.979,,,,,NT,-12.4634,130.8456,Lowest Aging
2004,Northern Territory,NT,202663.0,8341.0,4.116,,,,,NT,-12.4634,130.8456,Lowest Aging
2005,Northern Territory,NT,205905.0,8831.0,4.289,,,,,NT,-12.4634,130.8456,Lowest Aging
2006,Northern Territory,NT,209057.0,9682.0,4.631,,,,,NT,-12.4634,130.8456,Lowest Aging
2007,Northern Territory,NT,213748.0,10340.0,4.837,,,,,NT,-12.4634,130.8456,Lowest Aging
2008,Northern Territory,NT,219874.0,10861.0,4.94,,,,,NT,-12.4634,130.8456,Lowest Aging
2009,Northern Territory,NT,226027.0,11459.0,5.07,,,,,NT,-12.4634,130.8456,Lowest Aging
2010,Northern Territory,NT,229778.0,12150.0,5.288,,,,,NT,-12.4634,130.8456,
2011,Northern Territory,NT,231292.0,12841.0,5.552,,,,,NT,-12.4634,130.8456,
2012,Northern Territory,NT,235915.0,13832.0,5.863,,,,,NT,-12.4634,130.8456,
2013,Northern Territory,NT,241722.0,14695.0,6.079,,,,,NT,-12.4634,130.8456,Lowest Aging
2014,Northern Territory,NT,242894.0,15486.0,6.376,,,,,NT,-12.4634,130.8456,Lowest Aging
2015,Northern Territory,NT,244692.0,16247.0,6.64,,,,,NT,-12.4634,130.8456,Lowest Aging
2016,Northern Territory,NT,245678.0,16956.0,6.902,,,,,NT,-12.4634,130.8456,Lowest Aging
2017,Northern Territory,NT,247412.0,17668.0,7.141,,,,,NT,-12.4634,130.8456,Lowest Aging
2018,Northern Territory,NT,247095.0,18552.0,7.508,,,,,NT,-12.4634,130.8456,Lowest Aging
2019,Northern Territory,NT,246559.0,19382.0,7.861,,,,,NT,-12.4634,130.8456,Lowest Aging
2020,Northern Territory,NT,247428.0,20522.0,8.294,,,,,NT,-12.4634,130.8456,Lowest Aging
2021,Northern Territory,NT,248151.0,21560.0,8.688,,,,,NT,-12.4634,130.8456,Lowest Aging
2022,Northern Territory,NT,250228.0,22431.0,8.964,,,,,NT,-12.4634,130.8456,Lowest Aging
2023,Northern Territory,NT,253062.0,23370.0,9.235,,,,,NT,-12.4634,130.8456,Lowest Aging
2024,Northern Territory,NT,255069.0,24513.0,9.61,6.0,1057.0,2.352,4.143976727865794,NT,-12.4634,130.8456,Lowest Aging
2001,Other Territories,OT,2584.0,95.0,3.676,,,,,,,,Lowest Aging
2002,Other Territories,OT,2397.0,86.0,3.588,,,,,,,,Lowest Aging
2003,Other Territories,OT,2336.0,98.0,4.195,,,,,,,,
2004,Other Territories,OT,2356.0,99.0,4.202,,,,,,,,
2005,Other Territories,OT,2381.0,115.0,4.83,,,,,,,,
2006,Other Territories,OT,2379.0,128.0,5.38,,,,,,,,
2007,Other Territories,OT,2514.0,129.0,5.131,,,,,,,,
2008,Other Territories,OT,2683.0,136.0,5.069,,,,,,,,
2009,Other Territories,OT,2876.0,147.0,5.111,,,,,,,,
2010,Other Territories,OT,3055.0,152.0,4.975,,,,,,,,Lowest Aging
2011,Other Territories,OT,3117.0,160.0,5.133,,,,,,,,Lowest Aging
2012,Other Territories,OT,3033.0,170.0,5.605,,,,,,,,Lowest Aging
2013,Other Territories,OT,2962.0,183.0,6.178,,,,,,,,
2014,Other Territories,OT,2896.0,201.0,6.941,,,,,,,,
2015,Other Territories,OT,2851.0,239.0,8.383,,,,,,,,
2016,Other Territories,OT,4608.0,696.0,15.104,,,,,,,,
2017,Other Territories,OT,4671.0,738.0,15.8,,,,,,,,
2018,Other Territories,OT,4725.0,782.0,16.55,,,,,,,,
2019,Other Territories,OT,4776.0,822.0,17.211,,,,,,,,
2020,Other Territories,OT,4803.0,874.0,18.197,,,,,,,,
2021,Other Territories,OT,4850.0,919.0,18.948,,,,,,,,
2022,Other Territories,OT,4920.0,975.0,19.817,,,,,,,,
2023,Other Territories,OT,4967.0,1049.0,21.119,,,,,,,,
2024,Other Territories,OT,4994.0,1104.0,22.107,,,,,,,,Highest Aging
2001,Queensland,QLD,3571469.0,415805.0,11.642,,,,,QLD,-27.4698,153.0251,
2002,Queensland,QLD,3653123.0,429274.0,11.751,,,,,QLD,-27.4698,153.0251,
2003,Queensland,QLD,3743121.0,442825.0,11.83,,,,,QLD,-27.4698,153.0251,
2004,Queensland,QLD,3829970.0,456587.0,11.921,,,,,QLD,-27.4698,153.0251,
2005,Queensland,QLD,3918494.0,470826.0,12.015,,,,,QLD,-27.4698,153.0251,
2006,Queensland,QLD,4007992.0,485016.0,12.101,,,,,QLD,-27.4698,153.0251,
2007,Queensland,QLD,4111018.0,501389.0,12.196,,,,,QLD,-27.4698,153.0251,
2008,Queensland,QLD,4219505.0,516451.0,12.24,,,,,QLD,-27.4698,153.0251,
2009,Queensland,QLD,4328771.0,535489.0,12.37,,,,,QLD,-27.4698,153.0251,
2010,Queensland,QLD,4404744.0,557203.0,12.65,,,,,QLD,-27.4698,153.0251,
2011,Queensland,QLD,4476778.0,579758.0,12.95,,,,,QLD,-27.4698,153.0251,
2012,Queensland,QLD,4568687.0,607620.0,13.3,,,,,QLD,-27.4698,153.0251,
2013,Queensland,QLD,4652824.0,633435.0,13.614,,,,,QLD,-27.4698,153.0251,
2014,Queensland,QLD,4719653.0,659271.0,13.969,,,,,QLD,-27.4698,153.0251,
2015,Queensland,QLD,4777692.0,685511.0,14.348,,,,,QLD,-27.4698,153.0251,
2016,Queensland,QLD,4845152.0,713225.0,14.72,,,,,QLD,-27.4698,153.0251,
2017,Queensland,QLD,4926380.0,741035.0,15.042,,,,,QLD,-27.4698,153.0251,
2018,Queensland,QLD,5006623.0,769651.0,15.373,,,,,QLD,-27.4698,153.0251,
2019,Queensland,QLD,5088847.0,799402.0,15.709,,,,,QLD,-27.4698,153.0251,
2020,Queensland,QLD,5165613.0,832243.0,16.111,,,,,QLD,-27.4698,153.0251,
2021,Queensland,QLD,5215814.0,864516.0,16.575,,,,,QLD,-27.4698,153.0251,
2022,Queensland,QLD,5320941.0,896322.0,16.845,,,,,QLD,-27.4698,153.0251,
2023,Queensland,QLD,5460477.0,926625.0,16.97,,,,,QLD,-27.4698,153.0251,
2024,Queensland,QLD,5583833.0,958858.0,17.172,123.0,14021.0,2.203,2.5109991649105554,QLD,-27.4698,153.0251,
2001,South Australia,SA,1503461.0,219918.0,14.627,,,,,SA,-34.9285,138.6007,Highest Aging
2002,South Australia,SA,1511567.0,222599.0,14.726,,,,,SA,-34.9285,138.6007,Highest Aging
2003,South Australia,SA,1520399.0,225168.0,14.81,,,,,SA,-34.9285,138.6007,Highest Aging
2004,South Australia,SA,1528189.0,228305.0,14.94,,,,,SA,-34.9285,138.6007,Highest Aging
2005,South Australia,SA,1538804.0,231631.0,15.053,,,,,SA,-34.9285,138.6007,Highest Aging
2006,South Australia,SA,1552529.0,234537.0,15.107,,,,,SA,-34.9285,138.6007,Highest Aging
2007,South Australia,SA,1570619.0,238966.0,15.215,,,,,SA,-34.9285,138.6007,Highest Aging
2008,South Australia,SA,1588665.0,243364.0,15.319,,,,,SA,-34.9285,138.6007,Highest Aging
2009,South Australia,SA,1608902.0,248588.0,15.451,,,,,SA,-34.9285,138.6007,Highest Aging
2010,South Australia,SA,1627322.0,254952.0,15.667,,,,,SA,-34.9285,138.6007,
2011,South Australia,SA,1639614.0,261593.0,15.955,,,,,SA,-34.9285,138.6007,
2012,South Australia,SA,1656725.0,271120.0,16.365,,,,,SA,-34.9285,138.6007,
2013,South Australia,SA,1671488.0,279043.0,16.694,,,,,SA,-34.9285,138.6007,
2014,South Australia,SA,1686945.0,287054.0,17.016,,,,,SA,-34.9285,138.6007,
2015,South Australia,SA,1700668.0,294764.0,17.332,,,,,SA,-34.9285,138.6007,
2016,South Australia,SA,1712843.0,303117.0,17.697,,,,,SA,-34.9285,138.6007,
2017,South Australia,SA,1728673.0,311757.0,18.034,,,,,SA,-34.9285,138.6007,
2018,South Australia,SA,1746137.0,320829.0,18.374,,,,,SA,-34.9285,138.6007,
2019,South Australia,SA,1767395.0,330474.0,18.698,,,,,SA,-34.9285,138.6007,
2020,South Australia,SA,1790355.0,341929.0,19.098,,,,,SA,-34.9285,138.6007,
2021,South Australia,SA,1802601.0,352438.0,19.552,,,,,SA,-34.9285,138.6007,
2022,South Australia,SA,1821215.0,361511.0,19.85,,,,,SA,-34.9285,138.6007,
2023,South Australia,SA,1852972.0,370369.0,19.988,,,,,SA,-34.9285,138.6007,
2024,South Australia,SA,1878011.0,380395.0,20.255,75.0,5180.0,3.994,2.758237305319298,SA,-34.9285,138.6007,
2001,Tasmania,TAS,473668.0,65181.0,13.761,,,,,TAS,-42.8821,147.3272,
2002,Tasmania,TAS,474152.0,66267.0,13.976,,,,,TAS,-42.8821,147.3272,
2003,Tasmania,TAS,478534.0,67468.0,14.099,,,,,TAS,-42.8821,147.3272,
2004,Tasmania,TAS,483178.0,68798.0,14.239,,,,,TAS,-42.8821,147.3272,
2005,Tasmania,TAS,486202.0,70146.0,14.427,,,,,TAS,-42.8821,147.3272,
2006,Tasmania,TAS,489302.0,71438.0,14.6,,,,,TAS,-42.8821,147.3272,
2007,Tasmania,TAS,493262.0,73188.0,14.838,,,,,TAS,-42.8821,147.3272,
2008,Tasmania,TAS,498568.0,75100.0,15.063,,,,,TAS,-42.8821,147.3272,
2009,Tasmania,TAS,504353.0,77372.0,15.341,,,,,TAS,-42.8821,147.3272,
2010,Tasmania,TAS,508847.0,79769.0,15.676,,,,,TAS,-42.8821,147.3272,Highest Aging
2011,Tasmania,TAS,511483.0,82315.0,16.093,,,,,TAS,-42.8821,147.3272,Highest Aging
2012,Tasmania,TAS,511724.0,85581.0,16.724,,,,,TAS,-42.8821,147.3272,Highest Aging
2013,Tasmania,TAS,512231.0,88376.0,17.253,,,,,TAS,-42.8821,147.3272,Highest Aging
2014,Tasmania,TAS,513621.0,91252.0,17.766,,,,,TAS,-42.8821,147.3272,Highest Aging
2015,Tasmania,TAS,515117.0,94335.0,18.313,,,,,TAS,-42.8821,147.3272,Highest Aging
2016,Tasmania,TAS,517514.0,97328.0,18.807,,,,,TAS,-42.8821,147.3272,Highest Aging
2017,Tasmania,TAS,526762.0,100983.0,19.171,,,,,TAS,-42.8821,147.3272,Highest Aging
2018,Tasmania,TAS,537291.0,104565.0,19.462,,,,,TAS,-42.8821,147.3272,Highest Aging
2019,Tasmania,TAS,547841.0,108312.0,19.771,,,,,TAS,-42.8821,147.3272,Highest Aging
2020,Tasmania,TAS,557578.0,112271.0,20.135,,,,,TAS,-42.8821,147.3272,Highest Aging
2021,Tasmania,TAS,567239.0,115983.0,20.447,,,,,TAS,-42.8821,147.3272,Highest Aging
2022,Tasmania,TAS,571051.0,119295.0,20.89,,,,,TAS,-42.8821,147.3272,Highest Aging
2023,Tasmania,TAS,573738.0,122333.0,21.322,,,,,TAS,-42.8821,147.3272,Highest Aging
2024,Tasmania,TAS,575496.0,125675.0,21.838,23.0,1712.0,3.997,2.974825194267206,TAS,-42.8821,147.3272,
2001,Victoria,VIC,4763615.0,620297.0,13.022,,,,,VIC,-37.8136,144.9631,
2002,Victoria,VIC,4817774.0,630213.0,13.081,,,,,VIC,-37.8136,144.9631,
2003,Victoria,VIC,4873809.0,640570.0,13.143,,,,,VIC,-37.8136,144.9631,
2004,Victoria,VIC,4927149.0,651620.0,13.225,,,,,VIC,-37.8136,144.9631,
2005,Victoria,VIC,4989246.0,664488.0,13.318,,,,,VIC,-37.8136,144.9631,
2006,Victoria,VIC,5061266.0,677708.0,13.39,,,,,VIC,-37.8136,144.9631,
2007,Victoria,VIC,5153522.0,695162.0,13.489,,,,,VIC,-37.8136,144.9631,
2008,Victoria,VIC,5256375.0,711501.0,13.536,,,,,VIC,-37.8136,144.9631,
2009,Victoria,VIC,5371934.0,731626.0,13.619,,,,,VIC,-37.8136,144.9631,
2010,Victoria,VIC,5461101.0,754008.0,13.807,,,,,VIC,-37.8136,144.9631,
2011,Victoria,VIC,5537817.0,777486.0,14.04,,,,,VIC,-37.8136,144.9631,
2012,Victoria,VIC,5651091.0,809924.0,14.332,,,,,VIC,-37.8136,144.9631,
2013,Victoria,VIC,5772669.0,839694.0,14.546,,,,,VIC,-37.8136,144.9631,
2014,Victoria,VIC,5894917.0,867954.0,14.724,,,,,VIC,-37.8136,144.9631,
2015,Victoria,VIC,6022322.0,897013.0,14.895,,,,,VIC,-37.8136,144.9631,
2016,Victoria,VIC,6173172.0,928475.0,15.04,,,,,VIC,-37.8136,144.9631,
2017,Victoria,VIC,6302608.0,955633.0,15.163,,,,,VIC,-37.8136,144.9631,
2018,Victoria,VIC,6423038.0,983255.0,15.308,,,,,VIC,-37.8136,144.9631,
2019,Victoria,VIC,6537305.0,1011353.0,15.47,,,,,VIC,-37.8136,144.9631,
2020,Victoria,VIC,6615046.0,1048556.0,15.851,,,,,VIC,-37.8136,144.9631,
2021,Victoria,VIC,6547822.0,1072814.0,16.384,,,,,VIC,-37.8136,144.9631,
2022,Victoria,VIC,6630631.0,1099013.0,16.575,,,,,VIC,-37.8136,144.9631,
2023,Victoria,VIC,6816241.0,1129554.0,16.572,,,,,VIC,-37.8136,144.9631,
2024,Victoria,VIC,6978719.0,1164038.0,16.68,159.0,15856.0,2.278,2.2720502143731536,VIC,-37.8136,144.9631,
2001,Western Australia,WA,1906274.0,209950.0,11.014,,,,,WA,-31.9505,115.8605,
2002,Western Australia,WA,1928512.0,215768.0,11.188,,,,,WA,-31.9505,115.8605,
2003,Western Australia,WA,1952741.0,221903.0,11.364,,,,,WA,-31.9505,115.8605,
2004,Western Australia,WA,1979542.0,228350.0,11.535,,,,,WA,-31.9505,115.8605,
2005,Western Australia,WA,2011207.0,235094.0,11.689,,,,,WA,-31.9505,115.8605,
2006,Western Australia,WA,2050581.0,241670.0,11.785,,,,,WA,-31.9505,115.8605,
2007,Western Australia,WA,2106139.0,249584.0,11.85,,,,,WA,-31.9505,115.8605,
2008,Western Australia,WA,2171700.0,256718.0,11.821,,,,,WA,-31.9505,115.8605,
2009,Western Australia,WA,2240250.0,265845.0,11.867,,,,,WA,-31.9505,115.8605,
2010,Western Australia,WA,2290845.0,275243.0,12.015,,,,,WA,-31.9505,115.8605,
2011,Western Australia,WA,2353409.0,285968.0,12.151,,,,,WA,-31.9505,115.8605,
2012,Western Australia,WA,2425507.0,299250.0,12.338,,,,,WA,-31.9505,115.8605,
2013,Western Australia,WA,2486944.0,311502.0,12.525,,,,,WA,-31.9505,115.8605,
2014,Western Australia,WA,2517608.0,322955.0,12.828,,,,,WA,-31.9505,115.8605,
2015,Western Australia,WA,2540672.0,334444.0,13.164,,,,,WA,-31.9505,115.8605,
2016,Western Australia,WA,2555978.0,346542.0,13.558,,,,,WA,-31.9505,115.8605,
2017,Western Australia,WA,2585720.0,360935.0,13.959,,,,,WA,-31.9505,115.8605,
2018,Western Australia,WA,2617792.0,376632.0,14.387,,,,,WA,-31.9505,115.8605,
2019,Western Australia,WA,2659625.0,393078.0,14.779,,,,,WA,-31.9505,115.8605,
2020,Western Australia,WA,2712912.0,413816.0,15.254,,,,,WA,-31.9505,115.8605,
2021,Western Australia,WA,2749365.0,431920.0,15.71,,,,,WA,-31.9505,115.8605,
2022,Western Australia,WA,2791794.0,447186.0,16.018,,,,,WA,-31.9505,115.8605,
2023,Western Australia,WA,2883762.0,463159.0,16.061,,,,,WA,-31.9505,115.8605,
2024,Western Australia,WA,2965078.0,479965.0,16.187,89.0,6871.0,3.002,2.3173083473689395,WA,-31.9505,115.8605,
